Year|Code|Title|Instructor|School|Term|Period|Classroom|c_id
2025|STAX101L|Statistics I [E] 01|YAMAMOTO, Teppei|Schl Political Sci/Econo|spring quarter|['01:Fri.3', '02:othersOn demand']|['3-902 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300103001202511G300103011&pLng=en
2025|STAX101L|Statistics I [E] 02|YAMAMOTO, Teppei|Schl Political Sci/Econo|spring quarter|['01:Fri.4', '02:othersOn demand']|['3-902 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300103002202511G300103011&pLng=en
2025|STAX101L|Statistics I [E] 03|YAMAMOTO, Teppei|Schl Political Sci/Econo|spring quarter|['01:Fri.5', '02:othersOn demand']|['3-902 (SPSE PC Room)']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300103003202511G300103011&pLng=en
2025|MATX231L|Mathematical Economics [E] 01|KVASOV, Dmitriy|Schl Political Sci/Econo|spring semester|['Tues.4']|['3-304']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300105001202511G300105011&pLng=en
2025|MATX23ZL|Calculus (Multivariable Integral Calculus) [E] 01|BOWEN, Mark|Schl Political Sci/Econo|spring quarter|['01:Wed.3', '02:Fri.1']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300106201202511G300106211&pLng=en
2025|MATX23ZL|Calculus (Multivariable Integral Calculus) [E] 02|OKAZAKI, Ryotaro|Schl Political Sci/Econo|spring quarter|['01:Wed.2', '02:Thur.1']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300106202202511G300106211&pLng=en
2025|MATX23ZL|Calculus (Multivariable Calculus) [E] 01|NOBE, Atsushi|Schl Political Sci/Econo|spring semester|['Fri.4']|['3-708']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300106301202511G300106311&pLng=en
2025|MATX11ZL|Linear Algebra [E] 01|KVASOV, Dmitriy|Schl Political Sci/Econo|fall semester|['Mon.3']|['3-406']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300107201202511G300107211&pLng=en
2025|MATX14ZL|Introduction to Probability and Statistics [E] 01|TRINH, Khanh Duy|Schl Political Sci/Econo|summer quarter|['01:Mon.5', '02:Wed.4']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300108001202511G300108011&pLng=en
2025|MATX14ZL|Introduction to Probability and Statistics [E] 02|PAN, Zhenni|Schl Political Sci/Econo|fall quarter|['01:Mon.5', '02:Thur.3']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G300108002202511G300108011&pLng=en
